fullName;firstname;middleInitial;lastname;username;email;streetaddress;city;zipcode;state;country;department;password;telephone;jobtitle;company;Oupath
Paolo Bettelini;"Paolo ";;Bettelini;paolo.bettelini;paolo.bettelini@blacksky.local;Via trevano 12;Canobbio;6903;TI;Switzerland;Informatica;"Password&1 ";09 600 00 11;"Marking Specialist ";BlackSky;OU=Informatica,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Marco Solari;"Marco ";;Solari;marco.solari;marco.solari@blacksky.local;Via trevano 12;Canobbio;6903;TI;Switzerland;Contabilit�;"Password&1 ";09 600 00 11;Purchase Specialist;BlackSky;OU=Contabilita,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Marta Malaguti;"Marta ";;Malaguti;marta.malaguti;marta.malaguti@blacksky.local;Via trevano 13;Canobbio;6904;TI;Switzerland;Contabilit�;"Password&1 ";10 600 00 11;Purchase Specialist;BlackSky;OU=Contabilita,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Paolo Conte;"Paolo ";;Conte;paolo.conte;paolo.conte@blacksky.local;Via trevano 14;Canobbio;6905;TI;Switzerland;Vendita;"Password&1 ";11 600 00 11;Purchase Specialist;BlackSky;OU=Vendita,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Aida Martini;"Aida ";;Martini;aida.martini;aida.martini@blacksky.local;Via trevano 15;Canobbio;6906;TI;Switzerland;Vendita;"Password&1 ";12 600 00 11;Purchase Specialist;BlackSky;OU=Vendita,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Eric Spadafora;"Eric ";;Spadafora;eric.spadafora;eric.spadafora@blacksky.local;Via trevano 16;Canobbio;6907;TI;Switzerland;Grafica-pubblicit�;"Password&1 ";13 600 00 11;Purchase Specialist;BlackSky;OU=Grafica-pubblicita,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Michela M�ller;"Michela ";;M�ller;michela.m�ller;michela.m�ller@blacksky.local;Via trevano 17;Canobbio;6908;TI;Switzerland;Grafica-pubblicit�;"Password&1 ";14 600 00 11;Purchase Specialist;BlackSky;OU=Grafica-pubblicita,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
John McStone;"John ";;McStone;john.mcstone;john.mcstone@blacksky.local;Via trevano 18;Canobbio;6909;TI;Switzerland;Sviluppo;"Password&1 ";15 600 00 11;Purchase Specialist;BlackSky;OU=Sviluppo,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Steve Richardson;"Steve ";;Richardson;steve.richardson;steve.richardson@blacksky.local;Via trevano 19;Canobbio;6910;TI;Switzerland;Sviluppo;"Password&1 ";16 600 00 11;Purchase Specialist;BlackSky;OU=Sviluppo,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Rita Viscardi;"Rita ";;Viscardi;rita.viscardi;rita.viscardi@blacksky.local;Via trevano 20;Canobbio;6911;TI;Switzerland;Direzione;"Password&1 ";17 600 00 11;Purchase Specialist;BlackSky;OU=Direzione,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
Giorgio Lucchini;"Giorgio ";;Lucchini;giorgio.lucchini;giorgio.lucchini@blacksky.local;Via trevano 21;Canobbio;6912;TI;Switzerland;Informatica;"Password&1 ";18 600 00 11;Purchase Specialist;BlackSky;OU=Admins,OU=BlackSky,DC=BlackSky,DC=local
Paolo Bettelini Admin;"Paolo ";;Bettelini Admin;paolo.admin;paolo.admin@blacksky.local;Via trevano 22;Canobbio;6913;TI;Switzerland;Informatica;"Password&1 ";19 600 00 11;Purchase Specialist;BlackSky;OU=Admins,OU=BlackSky,DC=BlackSky,DC=local
Franco Datasafe;"Franco ";;Datasafe;franco.datasafe;franco.datasafe@blacksky.local;Via trevano 23;Canobbio;6914;"TI   ";Switzerland;Informatica;"Password&1 ";20 600 00 11;Purchase Specialist;BlackSky;OU=Informatica,OU=Users,OU=BlackSky,DC=BlackSky,DC=local
svc_queryldap;svc_queryldap;;Richieste LDAP;svc_queryldap;;;;;;;;"Password&1 ";;;BlackSky;OU=Services,OU=BlackSky,DC=BlackSky,DC=local
svc_queryldap;svc_proxy;;Accesso Proxy;svc_proxy;;;;;;;;"Password&1 ";;;BlackSky;OU=Services,OU=BlackSky,DC=BlackSky,DC=local
